epoch,thr,val_f1,val_fpr,val_precision,val_recall,test_f1,test_fpr,test_precision,test_recall,valve2_f1,valve2_fpr,valve2_precision,valve2_recall
0.0,1.5003770589828491,0.7653061224484836,0.05333333333333298,0.9036144578313144,0.6637168141592862,0.7005076142127357,0.0,0.9999999999999856,0.5390624999999958,0.5692307692303511,0.00840336134453778,0.973684210526303,0.4021739130434761
1.0,1.5812331438064575,0.7589743589738639,0.05333333333333298,0.9024390243902329,0.6548672566371624,0.693877551019948,0.0,0.9999999999999853,0.5312499999999959,0.5375494071142235,0.00420168067226889,0.9855072463767974,0.3695652173913023
2.0,1.5304077863693237,0.7525773195871348,0.05333333333333298,0.9012345679012235,0.6460176991150386,0.6871794871790291,0.0,0.9999999999999851,0.5234374999999959,0.5468749999995914,0.00840336134453778,0.9722222222222088,0.3804347826086936
3.0,1.4946627616882324,0.7589743589738639,0.05333333333333298,0.9024390243902329,0.6548672566371624,0.6871794871790291,0.0,0.9999999999999851,0.5234374999999959,0.563706563706148,0.00840336134453778,0.9733333333333204,0.3967391304347805
4.0,1.4684008359909058,0.7461139896368126,0.05333333333333298,0.8999999999999888,0.6371681415929148,0.6767676767672127,0.02222222222222206,0.9571428571428435,0.5234374999999959,0.499999999999602,0.02100840336134445,0.9264705882352806,0.3423913043478242
5.0,1.4123088121414185,0.8796296296291225,0.05333333333333298,0.9223300970873697,0.8407079646017626,0.8303571428566455,0.02222222222222206,0.96874999999999,0.7265624999999943,0.6920415224908821,0.02100840336134445,0.9523809523809433,0.5434782608695623
6.0,1.3839665651321411,0.8847926267276032,0.05333333333333298,0.9230769230769142,0.8495575221238864,0.8534482758615669,0.037037037037036764,0.9519230769230678,0.773437499999994,0.7419354838704805,0.04621848739495779,0.9126984126984055,0.6249999999999967
7.0,1.1585593223571777,0.8847926267276032,0.05333333333333298,0.9230769230769142,0.8495575221238864,0.8634361233475181,0.007407407407407353,0.98989898989898,0.765624999999994,0.811145510835418,0.03361344537815112,0.9424460431654609,0.7119565217391266
8.0,1.4829331636428833,0.8949771689492642,0.05333333333333298,0.9245283018867838,0.867256637168134,0.8733624454143466,0.007407407407407353,0.9900990099009803,0.7812499999999939,0.8191489361697087,0.1596638655462178,0.8020833333333292,0.8369565217391259
9.0,1.4493111371994019,0.8899082568802265,0.05333333333333298,0.9238095238095151,0.8584070796460102,0.8722466960347427,0.0,0.9999999999999899,0.773437499999994,0.7549999999994994,0.27310924369747785,0.6990740740740709,0.820652173913039
10.0,0.7042422294616699,0.8899082568802265,0.05333333333333298,0.9238095238095151,0.8584070796460102,0.8722466960347427,0.0,0.9999999999999899,0.773437499999994,0.7401960784308736,0.306722689075629,0.6741071428571399,0.820652173913039
11.0,1.0939619541168213,0.8949771689492642,0.05333333333333298,0.9245283018867838,0.867256637168134,0.8733624454143466,0.007407407407407353,0.9900990099009803,0.7812499999999939,0.8179419525060924,0.1680672268907556,0.7948717948717908,0.8423913043478215
12.0,0.5118405818939209,0.8847926267276032,0.05333333333333298,0.9230769230769142,0.8495575221238864,0.862222222221724,0.0,0.9999999999999898,0.7578124999999941,0.7481662591682054,0.3025210084033601,0.6799999999999969,0.8315217391304303
13.0,1.5417574644088745,0.8949771689492642,0.05333333333333298,0.9245283018867838,0.867256637168134,0.8722466960347427,0.0,0.9999999999999899,0.773437499999994,0.8010752688167,0.1638655462184867,0.7925531914893575,0.8097826086956478
