epoch,loss,svdd,anom,contrast
0.0,2.627736806869507,1.2033508099615573,1.0881637585756834,0.672444561123848
1.0,2.0996084809303284,1.4445524871349336,0.3163756564259529,0.6773606091737747
2.0,2.083775722980499,1.4898704409599304,0.2566659651696682,0.6744785845279694
3.0,2.0805152535438536,1.493152642250061,0.24915216341614724,0.676420921087265
4.0,2.076399397850037,1.4847141325473785,0.2523917816579342,0.6785869568586349
5.0,2.052340477705002,1.480628752708435,0.23454962894320489,0.6743242055177688
6.0,2.015353500843048,1.436203557252884,0.24443819224834443,0.6694235384464264
7.0,1.9810533285140992,1.4052180886268615,0.2388826061040163,0.6739052474498749
8.0,1.9637461602687836,1.2024958968162536,0.42767305062152444,0.6671543955802918
9.0,1.9236451983451843,1.261495867371559,0.32590874284505844,0.6724811732769013
10.0,1.9948995947837829,1.2541217893362044,0.4076347907539457,0.6662860631942749
11.0,1.942544984817505,1.1832591116428375,0.42884091660380363,0.6608898907899856
12.0,1.8009236693382262,1.0504959285259248,0.4260419014841318,0.6487716376781464
13.0,1.870920830965042,1.0121299922466278,0.538104047998786,0.6413734942674637
